,기업명,휴폐업발생일자,휴폐업1년전날짜
1772,"""에스지퍼슨스""",2020.12.21,2019.12.21
1773,"""삼봉""",2021.12.13,2020.12.13
1774,"""혜성테크""",2021.01.21,2020.01.21
1775,"""대주강건""",2021.06.30,2020.06.30
1776,"""레스빠스""",2020.08.31,2019.08.31
1777,"""세영코퍼레이션""",2020.09.30,2019.09.30
1778,"""정진뉴어반""",2021.06.21,2020.06.21
1779,"""세광이엔씨""",2021.09.15,2020.09.15
1780,"""정플러스여행사""",2020.12.29,2019.12.29
1781,"""중앙에이치에스""",2021.09.30,2020.09.30
1782,"""성민티엔디""",2022.01.10,2021.01.10
1783,"""피비케미칼""",2021.12.31,2020.12.31
1784,"""태현이엔지""",2020.04.16,2019.04.16
1785,"""화신기계상사부산지점""",2021.05.31,2020.05.31
1786,"""라이즈스틸""",2020.06.30,2019.06.30
1787,"""고운하이츠""",2021.06.30,2020.06.30
1788,"""에스에이치비쥬얼""",2022.03.31,2021.03.31
1789,"""대도상회""",2020.04.10,2019.04.10
1790,"""에치케이텍""",2019.09.11,2018.09.11
1791,"""케이디시스텍""",2019.10.21,2018.10.21
1792,"""화인이앤지""",2021.06.30,2020.06.30
1793,"""엠에스티코리아""",2022.02.28,2021.02.28
1794,"""굿스틸""",2020.04.02,2019.04.02
1795,"""굿스틸""",2020.04.02,2019.04.02
1796,"""원광도어""",2020.06.30,2019.06.30
1797,"""코리아환경스마트""",2021.04.28,2020.04.28
1798,"""세중""",2021.11.04,2020.11.04
1799,"""혜원종합건축사사무소""",2022.06.30,2021.06.30
1800,"""수정""",2020.12.31,2019.12.31
1801,"""썸덱스월드""",2022.01.11,2021.01.11
1802,"""태광공업""",2020.02.06,2019.02.06
1803,"""어진철강시흥영업소""",2021.09.28,2020.09.28
1804,"""한국커피물류""",2020.12.02,2019.12.02
1805,"""프리즘""",2021.12.08,2020.12.08
1806,"""썬앤쉴드""",2021.12.31,2020.12.31
1807,"""태광공업(주)화성공장""",2020.02.06,2019.02.06
1808,"""경남창호""",2021.10.31,2020.10.31
1809,"""동경""",2020.07.31,2019.07.31
1810,"""청우식품북부영업소""",2021.06.01,2020.06.01
1811,"""이생테크건설""",2019.09.30,2018.09.30
1812,"""서영신소재""",2021.03.15,2020.03.15
1813,"""금원물류""",2020.08.04,2019.08.04
1814,"""고려은단""",2019.06.30,2018.06.30
1815,"""토마텍""",2022.06.30,2021.06.30
1816,"""한우리외식산업""",2020.01.02,2019.01.02
1817,"""대호레포츠""",2022.06.30,2021.06.30
1818,"""제이타우젠트""",2021.08.31,2020.08.31
1819,"""우림엔지니어링건축사사무소""",2019.12.31,2018.12.31
1820,"""현우산기""",2020.04.30,2019.04.30
1821,"""세화개발""",2018.12.31,2017.12.31
1822,"""삼포식품""",2019.12.31,2018.12.31
1823,"""상지정공제천지점""",2019.09.20,2018.09.20
1824,"""미주공업""",2021.06.30,2020.06.30
1825,"""포나후렉스천안사업장""",2021.12.31,2020.12.31
1826,"""천우테크장항공장""",2021.04.30,2020.04.30
1827,"""비엠시스""",2020.11.09,2019.11.09
1828,"""국제에스티""",2018.12.31,2017.12.31
1829,"""은백""",2021.12.31,2020.12.31
1830,"""일우영농조합법인""",2021.07.07,2020.07.07
1831,"""청우식품포항영업소""",2021.12.31,2020.12.31
1832,"""와이케이테크""",2020.06.30,2019.06.30
1833,"""엔타스시스템""",2020.07.31,2019.07.31
1834,"""비씨엠""",2020.09.21,2019.09.21
1835,"""유완전자""",2020.02.28,2019.02.28
1836,"""서한공업녹산공장""",2021.05.14,2020.05.14
1837,"""글로벌마케팅네트웍스""",2021.02.01,2020.02.01
1838,"""유니윌""",2022.04.08,2021.04.08
1839,"""에쓰브이씨""",2019.03.31,2018.03.31
1840,"""부국정밀이공장""",2021.03.02,2020.03.02
1841,"""와이케이엠""",2019.08.20,2018.08.20
1842,"""코텍사천공장""",2019.12.31,2018.12.31
1843,"""삼성콘크리트밀양공장""",2020.07.28,2019.07.28
1844,"""대한산업""",2019.12.31,2018.12.31
1845,"""석진이엔티""",2022.02.03,2021.02.03
1846,"""대호스톤""",2021.06.11,2020.06.11
1847,"""갤러리아포레""",2021.10.12,2020.10.12
1848,"""용산제이에스""",2021.12.09,2020.12.09
1849,"""금산인터내셔널""",2022.04.22,2021.04.22
1850,"""청아""",2021.03.25,2020.03.25
1851,"""최신이피피이피에스""",2020.05.30,2019.05.30
1852,"""한정농산영농조합법인""",2020.12.31,2019.12.31
1853,"""코너스톤씨앤씨""",2020.09.25,2019.09.25
1854,"""드림디카시스템즈용산민자""",2019.08.26,2018.08.26
1855,"""큐로컴""",2021.06.01,2020.06.01
1856,"""휴럼""",2021.07.15,2020.07.15
1857,"""서울신용평가정보""",2021.02.28,2020.02.28
1858,"""영화기업(주)성창빌딩""",2020.09.04,2019.09.04
1859,"""서울신용평가정보(주)원주지점""",2021.09.30,2020.09.30
1860,"""진미식품대전영업소""",2020.07.31,2019.07.31
1861,"""서울라이트타워""",2022.07.28,2021.07.28
1862,"""에콘힐""",2020.09.15,2019.09.15
1863,"""새한가스선""",2019.05.01,2018.05.01
1864,"""성주화성""",2021.08.09,2020.08.09
1865,"""진승글로벌푸드""",2021.12.31,2020.12.31
1866,"""비케이판넬""",2020.08.04,2019.08.04
1867,"""시노백바이오텍코리아""",2021.12.17,2020.12.17
1868,"""시노백바이오텍코리아""",2020.09.30,2019.09.30
1869,"""미림""",2020.01.14,2019.01.14
1870,"""진영테크""",2021.02.28,2020.02.28
1871,"""하나디엔씨""",2021.02.24,2020.02.24
1872,"""화이트윙시스템""",2021.12.31,2020.12.31
1873,"""카이로스""",2019.12.10,2018.12.10
1874,"""엠제이푸드""",2022.01.17,2021.01.17
1875,"""영신테크""",2019.09.30,2018.09.30
1876,"""동연""",2020.08.31,2019.08.31
1877,"""기선""",2020.06.30,2019.06.30
1878,"""기선""",2020.04.01,2019.04.01
1879,"""초록마을알에스""",2021.09.09,2020.09.09
1880,"""대성유통""",2020.03.31,2019.03.31
1881,"""바이오스타코리아""",2021.08.31,2020.08.31
1882,"""바이오맥""",2020.12.31,2019.12.31
1883,"""신성엔지니어링""",2022.02.07,2021.02.07
1884,"""월드중공업""",2021.02.05,2020.02.05
1885,"""디엠씨시스""",2020.11.30,2019.11.30
1886,"""관세법인건국브릿지""",2019.03.28,2018.03.28
1887,"""원일유통여주(상)주유소""",2020.12.31,2019.12.31
1888,"""씨스페이시스개나리점""",2022.07.31,2021.07.31
1889,"""아이엠피""",2019.12.31,2018.12.31
1890,"""중앙에너비스중부주유소""",2020.03.31,2019.03.31
1891,"""엘에프푸드""",2019.12.31,2018.12.31
1892,"""씨스페이시스대전구장""",2022.03.31,2021.03.31
1893,"""신포우리식품(대전지점)""",2019.11.15,2018.11.15
1894,"""삼천리렌트카""",2020.06.01,2019.06.01
1895,"""삼천리렌트카""",2020.06.01,2019.06.01
1896,"""씨스페이시스한화콘도""",2019.04.10,2018.04.10
1897,"""오르페오사운드웍스""",2022.02.28,2021.02.28
1898,"""세츠""",2019.05.15,2018.05.15
1899,"""삼성우등관광대전지점""",2019.08.26,2018.08.26
1900,"""유일석면환경""",2021.10.08,2020.10.08
1901,"""국제에스티""",2018.12.31,2017.12.31
1902,"""휴먼팩""",2022.06.30,2021.06.30
1903,"""쇼앤아트""",2020.03.31,2019.03.31
1904,"""쇼앤아트""",2019.12.31,2018.12.31
1905,"""율성건설""",2021.05.31,2020.05.31
1906,"""농업회사법인아라리촌""",2020.06.30,2019.06.30
1907,"""평창머쉬룸""",2021.12.09,2020.12.09
1908,"""아이뎀아이""",2021.03.31,2020.03.31
1909,"""엠파크시설관리""",2020.07.14,2019.07.14
1910,"""명지하우징""",2021.12.31,2020.12.31
1911,"""엘에이치""",2022.04.15,2021.04.15
1912,"""서진하이텍""",2020.08.31,2019.08.31
1913,"""케이에이엠""",2020.12.31,2019.12.31
1914,"""줌인터넷""",2019.05.23,2018.05.23
1915,"""앨토씨엔에스""",2020.06.30,2019.06.30
1916,"""비엔에스""",2021.02.01,2020.02.01
1917,"""효림종합건설""",2021.09.27,2020.09.27
1918,"""모바일테크""",2021.02.10,2020.02.10
1919,"""치선종합건설""",2021.05.21,2020.05.21
1920,"""엔에스아이엘씨""",2019.05.02,2018.05.02
1921,"""정통""",2021.01.13,2020.01.13
1922,"""그린로직스""",2020.08.30,2019.08.30
1923,"""칼소닉칸세이코리아(주)제이공장""",2022.03.25,2021.03.25
1924,"""밸류팩토리""",2021.08.31,2020.08.31
1925,"""우리마트가락점""",2021.02.26,2020.02.26
1926,"""한국경제경영연구원광주광역시지원""",2020.12.07,2019.12.07
1927,"""한국경제경영연구원전북지원""",2019.09.23,2018.09.23
1928,"""이스토우조명앤뷰티컨설팅""",2020.12.31,2019.12.31
1929,"""디에이티마리타임""",2021.03.26,2020.03.26
1930,"""지움건설""",2020.06.26,2019.06.26
1931,"""아라코리아""",2022.04.25,2021.04.25
1932,"""펍지""",2020.12.02,2019.12.02
1933,"""마더스바이오메드""",2022.03.16,2021.03.16
1934,"""경기체육발전""",2021.05.03,2020.05.03
1935,"""케이미트서울""",2020.08.31,2019.08.31
1936,"""리더스""",2022.05.31,2021.05.31
1937,"""동진기업""",2019.12.19,2018.12.19
1938,"""거성이엔씨""",2021.12.31,2020.12.31
1939,"""엠에스에이치이엔씨""",2020.06.30,2019.06.30
1940,"""윤""",2020.12.31,2019.12.31
1941,"""하이테크시스템""",2019.12.09,2018.12.09
1942,"""폴리백코리아""",2022.05.10,2021.05.10
1943,"""반도건설""",2021.02.08,2020.02.08
1944,"""동표""",2020.12.01,2019.12.01
1945,"""티에스아이""",2020.08.31,2019.08.31
1946,"""우리골프백화점""",2020.11.24,2019.11.24
1947,"""토요타동일모터스""",2021.03.31,2020.03.31
1948,"""해성산업개발(주)서울지점""",2020.06.30,2019.06.30
1949,"""서웅이엔씨""",2021.08.20,2020.08.20
1950,"""정우시스넷""",2022.06.21,2021.06.21
1951,"""금비산업""",2020.08.10,2019.08.10
1952,"""삼이시스템""",2022.03.31,2021.03.31
1953,"""석창영농조합법인""",2021.06.30,2020.06.30
1954,"""컨벤션헤리츠""",2020.12.02,2019.12.02
1955,"""엠아이앤전자""",2021.12.31,2020.12.31
1956,"""한길푸드""",2020.04.30,2019.04.30
1957,"""우영""",2020.01.15,2019.01.15
1958,"""펀트""",2020.12.31,2019.12.31
1959,"""더지엘""",2022.06.29,2021.06.29
1960,"""대가운수(주)서울지점""",2019.03.31,2018.03.31
1961,"""대가운수(주)경기지점""",2019.02.13,2018.02.13
1962,"""토경""",2022.03.31,2021.03.31
1963,"""대가운수(주)대전지점""",2020.06.11,2019.06.11
1964,"""대가운수(주)대구지점""",2020.06.11,2019.06.11
1965,"""대가운수(주)경북지점""",2020.06.11,2019.06.11
1966,"""케이에스씨""",2020.01.16,2019.01.16
1967,"""대가운수(주)울산지점""",2019.08.07,2018.08.07
1968,"""씨앤토트시스템""",2020.10.01,2019.10.01
1969,"""엘에스지""",2021.04.12,2020.04.12
1970,"""성제""",2019.12.31,2018.12.31
1971,"""페라리스파워""",2021.11.09,2020.11.09
1972,"""우진식자재도매센터""",2022.03.14,2021.03.14
1973,"""오양이피""",2020.05.25,2019.05.25
1974,"""오로라레텍""",2022.07.31,2021.07.31
1975,"""하와이커뮤니케이션즈""",2020.12.08,2019.12.08
1976,"""용프레시미트""",2019.12.19,2018.12.19
1977,"""성명조경""",2022.03.02,2021.03.02
1978,"""조은마루""",2021.12.31,2020.12.31
1979,"""매일상조""",2020.07.31,2019.07.31
1980,"""지이아이티""",2019.11.22,2018.11.22
1981,"""비올""",2020.12.01,2019.12.01
1982,"""이한육가공""",2020.07.31,2019.07.31
1983,"""태창산업""",2022.03.22,2021.03.22
1984,"""베프스""",2021.03.31,2020.03.31
1985,"""이나우모바일""",2019.12.31,2018.12.31
1986,"""유성스텐""",2020.09.30,2019.09.30
1987,"""푸른체육""",2021.09.30,2020.09.30
1988,"""지성테크""",2020.02.21,2019.02.21
1989,"""신성콘크리트공업""",2020.07.31,2019.07.31
1990,"""경주테지움""",2021.11.23,2020.11.23
1991,"""성진토건""",2021.03.05,2020.03.05
1992,"""나경주택""",2019.07.31,2018.07.31
1993,"""아이제이인터내셔널""",2021.08.27,2020.08.27
1994,"""아이제이인터내셔널""",2021.07.26,2020.07.26
1995,"""케이엘에프""",2021.11.16,2020.11.16
1996,"""에스알""",2021.05.31,2020.05.31
1997,"""타마스""",2022.06.30,2021.06.30
1998,"""조은포크육가공""",2021.12.31,2020.12.31
1999,"""아모제산업(주)물류센터""",2019.09.26,2018.09.26
2000,"""푸드원시화지점""",2022.04.08,2021.04.08
2001,"""큐젠바이오텍""",2021.04.26,2020.04.26
2002,"""이영산업기계""",2022.03.31,2021.03.31
2003,"""태창기업(주)완주지점""",2021.10.19,2020.10.19
2004,"""한국선박기술""",2020.09.30,2019.09.30
2005,"""제이스""",2021.06.30,2020.06.30
2006,"""반도수중무역""",2020.10.30,2019.10.30
2007,"""우리엔지니어링""",2020.12.31,2019.12.31
2008,"""인콤""",2021.12.15,2020.12.15
2009,"""대호커뮤니케이션""",2020.06.30,2019.06.30
2010,"""엑시스금융서비스""",2021.05.01,2020.05.01
2011,"""대영관광""",2020.06.30,2019.06.30
2012,"""바른정보기술""",2020.04.30,2019.04.30
2013,"""마린마스타""",2021.09.30,2020.09.30
2014,"""비케이씨코오포레이션""",2022.06.30,2021.06.30
2015,"""이노아이오""",2020.06.30,2019.06.30
2016,"""타스""",2019.12.31,2018.12.31
2017,"""크라우스마파이코리아""",2021.01.06,2020.01.06
2018,"""케이피피""",2021.05.27,2020.05.27
2019,"""지우몰""",2022.07.21,2021.07.21
2020,"""비투지코리아""",2021.08.02,2020.08.02
2021,"""고려생활건강""",2021.12.15,2020.12.15
2022,"""다본""",2022.06.15,2021.06.15
2023,"""한국에이버리알아이에스""",2021.06.04,2020.06.04
2024,"""에이티알""",2021.05.31,2020.05.31
2025,"""디에이치컨설팅""",2021.06.30,2020.06.30
2026,"""마이핏""",2022.06.30,2021.06.30
2027,"""기연정공""",2019.06.25,2018.06.25
2028,"""태일산업""",2020.03.31,2019.03.31
2029,"""중앙제어시스콘""",2019.08.29,2018.08.29
2030,"""썬스타엔텍""",2020.12.21,2019.12.21
2031,"""매크로이빈""",2022.06.29,2021.06.29
2032,"""매크로이빈""",2021.07.12,2020.07.12
2033,"""목마실업""",2019.12.31,2018.12.31
2034,"""금오스마트""",2022.06.30,2021.06.30
2035,"""장나라미트""",2021.11.30,2020.11.30
2036,"""이노이엔지""",2020.09.30,2019.09.30
2037,"""태성회계법인안산분사무소""",2019.03.31,2018.03.31
2038,"""케이엔제이코리아""",2020.08.13,2019.08.13
2039,"""모션오토파츠""",2021.11.11,2020.11.11
2040,"""이노라이즈컴퍼니""",2022.04.30,2021.04.30
2041,"""소프트크로스""",2020.01.14,2019.01.14
2042,"""이노티아이에이""",2021.06.11,2020.06.11
2043,"""풍성""",2020.06.15,2019.06.15
2044,"""에이치제이건설""",2021.01.05,2020.01.05
2045,"""위니텍""",2020.02.18,2019.02.18
2046,"""사담온""",2020.09.21,2019.09.21
2047,"""옵트""",2021.07.26,2020.07.26
2048,"""디앤엔인터내셔날""",2021.12.31,2020.12.31
2049,"""샘결""",2020.09.30,2019.09.30
2050,"""녹채원푸드시스템강남조선사""",2021.12.31,2020.12.31
2051,"""이멕""",2020.11.30,2019.11.30
2052,"""포스토피아대전센터""",2020.01.10,2019.01.10
2053,"""포스토피아광주센터""",2020.01.31,2019.01.31
2054,"""포스토피아대구센터""",2020.07.17,2019.07.17
2055,"""포스토피아제주센터""",2019.12.01,2018.12.01
2056,"""청명산업""",2021.01.01,2020.01.01
2057,"""티씨티제삼공장""",2020.12.31,2019.12.31
2058,"""경진피앤디""",2020.08.19,2019.08.19
2059,"""이원엔지니어링""",2020.06.30,2019.06.30
2060,"""피시피아""",2019.05.31,2018.05.31
2061,"""아카온""",2020.01.07,2019.01.07
2062,"""청솔노인요양센터""",2019.12.31,2018.12.31
2063,"""주영토건""",2019.12.31,2018.12.31
2064,"""투고건설""",2020.10.07,2019.10.07
2065,"""승화프랜트산업(주)홍성지점""",2020.09.03,2019.09.03
2066,"""에스엠메디칼상사""",2021.02.17,2020.02.17
2067,"""한국광성전자""",2020.11.13,2019.11.13
2068,"""에이티건설""",2022.03.31,2021.03.31
2069,"""유진로봇지나월드""",2020.09.04,2019.09.04
2070,"""신우티엔씨""",2022.06.29,2021.06.29
2071,"""삼마건설""",2021.08.31,2020.08.31
2072,"""한특""",2020.08.04,2019.08.04
2073,"""기성금속(주)화전공장""",2020.06.30,2019.06.30
2074,"""삼보에이앤티(주)아산공장""",2018.12.31,2017.12.31
2075,"""디앤에스텍""",2021.04.30,2020.04.30
2076,"""쿤스""",2020.01.31,2019.01.31
2077,"""에이치엔티마케팅""",2020.09.29,2019.09.29
2078,"""정수이엔지(주)천안지점""",2021.06.30,2020.06.30
2079,"""보성공업해양기전사업소""",2021.06.30,2020.06.30
2080,"""해덕파워웨이""",2021.11.30,2020.11.30
2081,"""해덕파워웨이""",2019.02.18,2018.02.18
2082,"""삼라홀딩스""",2019.11.12,2018.11.12
2083,"""강동레미콘""",2019.12.31,2018.12.31
2084,"""나남에이엘디(주) 인천지점""",2020.09.22,2019.09.22
2085,"""성원기술개발(주) 서울지점""",2019.04.26,2018.04.26
2086,"""트루아이즈""",2022.02.18,2021.02.18
2087,"""에스에프에프에스""",2020.09.28,2019.09.28
2088,"""글로벌엔지니어링테크놀로지""",2020.08.31,2019.08.31
2089,"""경전산업장림공장""",2021.09.30,2020.09.30
2090,"""비타""",2020.01.31,2019.01.31
2091,"""유초플래닝""",2019.12.18,2018.12.18
2092,"""비츠로애드컴""",2022.05.31,2021.05.31
2093,"""조은수산""",2021.09.15,2020.09.15
2094,"""조아로지스""",2019.09.30,2018.09.30
2095,"""뉴한시스""",2021.09.03,2020.09.03
2096,"""월산테크""",2020.02.25,2019.02.25
2097,"""아이엠테크""",2020.12.31,2019.12.31
2098,"""거목퍼니처""",2020.10.31,2019.10.31
2099,"""아모제산업(주)음성씨케이공장""",2019.09.26,2018.09.26
2100,"""코단에코크리트""",2020.04.23,2019.04.23
2101,"""동강레저""",2019.06.01,2018.06.01
2102,"""레이크머티리얼즈""",2020.04.06,2019.04.06
2103,"""거제엔지니어링""",2020.09.28,2019.09.28
2104,"""위저드""",2020.01.20,2019.01.20
2105,"""코마글로벌""",2022.04.13,2021.04.13
2106,"""진두아이에스대전지사""",2021.12.31,2020.12.31
2107,"""세종앤파트너스""",2021.01.31,2020.01.31
2108,"""더에스펀""",2021.10.22,2020.10.22
2109,"""유인환경산업""",2022.03.11,2021.03.11
2110,"""씨지테크""",2020.06.30,2019.06.30
2111,"""디케이메디칼솔루션""",2020.01.07,2019.01.07
2112,"""디케이메디칼솔루션""",2020.01.07,2019.01.07
2113,"""씨케이글로벌파트너스""",2019.11.22,2018.11.22
2114,"""다해""",2020.09.14,2019.09.14
2115,"""대신네트웍스(주)춘천지점""",2021.04.30,2020.04.30
2116,"""성보개발(주)공도사업소""",2022.04.29,2021.04.29
2117,"""디오플렉스""",2021.09.30,2020.09.30
2118,"""한양계전""",2022.06.02,2021.06.02
2119,"""아트페이퍼""",2022.06.30,2021.06.30
2120,"""보폭스""",2019.07.31,2018.07.31
2121,"""건농""",2020.07.31,2019.07.31
2122,"""제이오""",2019.11.05,2018.11.05
2123,"""링코제일이화여대점""",2020.06.30,2019.06.30
2124,"""카라앤케이""",2020.12.31,2019.12.31
2125,"""에스지디앤씨""",2021.09.27,2020.09.27
2126,"""종하이앤씨문수로주유소""",2018.12.31,2017.12.31
2127,"""종하이앤씨유명주유소""",2018.12.31,2017.12.31
2128,"""델시코리아""",2020.12.23,2019.12.23
2129,"""한아테크""",2019.11.22,2018.11.22
2130,"""티비티종합건설""",2020.05.15,2019.05.15
2131,"""더블맥스""",2022.03.31,2021.03.31
2132,"""한울대전지점""",2020.12.31,2019.12.31
2133,"""만나""",2022.05.02,2021.05.02
2134,"""부강축산""",2021.04.12,2020.04.12
2135,"""동산산업단지개발""",2022.03.31,2021.03.31
2136,"""광일기업청주지점""",2021.02.15,2020.02.15
2137,"""유텔에스케이벤티움지점""",2021.01.21,2020.01.21
2138,"""다해에프앤씨""",2021.12.10,2020.12.10
2139,"""워크시스""",2021.11.17,2020.11.17
2140,"""다우스틸""",2019.11.29,2018.11.29
2141,"""티피엠로지스""",2022.06.30,2021.06.30
2142,"""비퀘스트""",2021.06.11,2020.06.11
2143,"""계진푸드""",2020.12.31,2019.12.31
2144,"""진영건축사사무소""",2021.04.30,2020.04.30
2145,"""에스앤씨이엔지""",2021.12.31,2020.12.31
2146,"""솔향""",2021.04.23,2020.04.23
2147,"""동안물산""",2020.12.09,2019.12.09
2148,"""아이엠에이플러스""",2022.05.31,2021.05.31
2149,"""세기전력""",2022.01.28,2021.01.28
2150,"""유진인터내셔널""",2021.07.31,2020.07.31
2151,"""세신데코""",2022.06.13,2021.06.13
2152,"""진미식품괴산공장""",2020.07.31,2019.07.31
2153,"""동현""",2021.04.19,2020.04.19
2154,"""위니아글로벌테크""",2019.10.01,2018.10.01
2155,"""메리트""",2020.12.31,2019.12.31
2156,"""인터피아에프티""",2020.07.31,2019.07.31
2157,"""중원철강""",2021.11.30,2020.11.30
2158,"""유앤오일넷""",2020.09.21,2019.09.21
2159,"""엔지스커뮤니케이션즈""",2020.02.03,2019.02.03
2160,"""동일화성""",2020.08.31,2019.08.31
2161,"""거목엔지니어링""",2020.12.31,2019.12.31
2162,"""이지스자산운용(주)피에스코이프사모부동산투자신탁일""",2021.03.17,2020.03.17
2163,"""지앤클라우드""",2020.12.29,2019.12.29
2164,"""뉴플러스커뮤니케이션""",2020.02.29,2019.02.28
2165,"""영광레미콘""",2021.06.21,2020.06.21
2166,"""정선산나물장아찌영농조합법인""",2022.01.11,2021.01.11
2167,"""아모""",2021.12.31,2020.12.31
2168,"""천안타일""",2020.12.31,2019.12.31
2169,"""동창식품""",2020.07.10,2019.07.10
2170,"""수호이미지테크놀로지""",2020.12.29,2019.12.29
2171,"""에스디에스""",2019.12.31,2018.12.31
2172,"""한국예건종합건설""",2021.04.16,2020.04.16
2173,"""인성이엔씨""",2019.12.31,2018.12.31
2174,"""제림이엔지제이공장지점""",2020.12.31,2019.12.31
2175,"""세명비에스테크""",2020.12.31,2019.12.31
2176,"""씨티에스""",2020.10.30,2019.10.30
2177,"""동남브이피피""",2020.04.20,2019.04.20
2178,"""강남대성기숙학원""",2021.02.02,2020.02.02
2179,"""에스카""",2021.11.17,2020.11.17
2180,"""티플러스""",2020.06.30,2019.06.30
2181,"""티씨에스원""",2021.09.01,2020.09.01
2182,"""하이딥""",2022.04.27,2021.04.27
2183,"""에코오가닉코리아""",2022.04.08,2021.04.08
2184,"""팬굿필""",2021.01.31,2020.01.31
2185,"""에이프로""",2020.04.22,2019.04.22
2186,"""원파워영월공장""",2019.12.31,2018.12.31
2187,"""블루네트웍스중부지사""",2019.02.28,2018.02.28
2188,"""대지이앤씨산업(주)인천동부지점""",2020.06.30,2019.06.30
2189,"""가로""",2021.02.07,2020.02.07
2190,"""성한""",2022.04.30,2021.04.30
2191,"""덕현개발""",2022.04.23,2021.04.23
2192,"""블리츠웨이""",2021.12.07,2020.12.07
2193,"""티유플렉스""",2021.06.30,2020.06.30
2194,"""월드석재산업""",2020.08.11,2019.08.11
2195,"""삼현이엔에스""",2022.01.02,2021.01.02
2196,"""이공엔지니어링""",2019.12.31,2018.12.31
2197,"""인앤인시스템""",2019.12.31,2018.12.31
2198,"""진덕공사""",2020.06.05,2019.06.05
2199,"""미건""",2022.05.06,2021.05.06
2200,"""미건""",2022.04.27,2021.04.27
2201,"""새한이앤에스""",2019.09.18,2018.09.18
2202,"""자오""",2021.11.30,2020.11.30
2203,"""서호토건""",2020.04.22,2019.04.22
2204,"""코디아이""",2019.12.31,2018.12.31
2205,"""알로드""",2021.11.29,2020.11.29
2206,"""농업회사법인한솔에프앤비""",2021.04.30,2020.04.30
2207,"""하이네트웍스""",2019.05.07,2018.05.07
2208,"""바이웹""",2020.04.29,2019.04.29
2209,"""티앤씨팜""",2020.06.11,2019.06.11
2210,"""홍우비앤티안성지점""",2022.06.30,2021.06.30
2211,"""바루소프트""",2021.03.19,2020.03.19
2212,"""케이알제5호위탁관리부동산투자회사""",2021.09.30,2020.09.30
2213,"""해커스종로""",2020.11.02,2019.11.02
2214,"""오토이십오시종합자동차서비스""",2020.07.13,2019.07.13
2215,"""해우림""",2019.11.29,2018.11.29
2216,"""동북쇼핑""",2021.12.27,2020.12.27
2217,"""에스아이시스템""",2019.12.31,2018.12.31
2218,"""오앤케이테크""",2021.11.30,2020.11.30
2219,"""베네스킨코스메틱""",2021.07.14,2020.07.14
2220,"""에이치티씨까사빌신촌""",2019.12.30,2018.12.30
2221,"""진도에프앤청담점""",2021.12.31,2020.12.31
2222,"""태정전척""",2018.12.31,2017.12.31
2223,"""에이프로젠케이아이씨포항플랜트지점""",2019.04.29,2018.04.29
2224,"""크리""",2020.06.30,2019.06.30
2225,"""담터대궁영업""",2020.11.02,2019.11.02
2226,"""조흥""",2020.09.30,2019.09.30
2227,"""코리아프리프로그래픽앤씨스템""",2021.09.14,2020.09.14
2228,"""성심투자개발""",2019.12.31,2018.12.31
2229,"""제이더블유엘""",2019.12.31,2018.12.31
2230,"""산청식품""",2021.09.09,2020.09.09
2231,"""코온""",2021.11.01,2020.11.01
2232,"""주아성테크노대구지점""",2020.12.31,2019.12.31
2233,"""세아테크""",2022.02.08,2021.02.08
2234,"""대진금속""",2019.06.30,2018.06.30
2235,"""디지털프라자금천지점""",2022.06.30,2021.06.30
2236,"""디자인미래감""",2020.08.31,2019.08.31
2237,"""에스엘테크""",2021.12.31,2020.12.31
2238,"""효종원""",2022.07.07,2021.07.07
2239,"""우영에이텍""",2020.12.31,2019.12.31
2240,"""제오젠""",2019.03.13,2018.03.13
2241,"""파인""",2022.04.30,2021.04.30
2242,"""윤우정밀""",2022.01.04,2021.01.04
2243,"""에이알에이엔피에스제2호위탁관리부동산투자회사""",2020.12.03,2019.12.03
2244,"""이륜""",2020.04.30,2019.04.30
2245,"""쏘그웨어""",2020.10.31,2019.10.31
2246,"""예원에스앤에스""",2020.08.05,2019.08.05
2247,"""건동하이텍""",2021.02.28,2020.02.28
2248,"""이노캡""",2019.11.01,2018.11.01
2249,"""대한주택관리개봉두산아파트관리사무소""",2019.12.31,2018.12.31
2250,"""세무법인효림""",2020.09.30,2019.09.30
2251,"""동강축산유통""",2022.07.25,2021.07.25
2252,"""뉴삼성자동차운전전문학원""",2019.04.24,2018.04.24
2253,"""뉴삼성자동차운전전문학원""",2019.04.24,2018.04.24
2254,"""케이아이씨""",2020.04.30,2019.04.30
2255,"""씨스페이시스코엑스점""",2019.03.31,2018.03.31
2256,"""한빛인프라소닉""",2022.07.01,2021.07.01
2257,"""센주금속공업(주)한국지점""",2021.04.12,2020.04.12
2258,"""동인하이텍(주)부천사업장""",2022.07.18,2021.07.18
2259,"""명선헌""",2019.08.18,2018.08.18
2260,"""우성바이오텍""",2020.03.21,2019.03.21
2261,"""세무법인효림북대구지사""",2020.09.30,2019.09.30
2262,"""컨버즈""",2019.06.13,2018.06.13
2263,"""디자인이즈""",2021.11.26,2020.11.26
2264,"""성이약품""",2021.12.31,2020.12.31
2265,"""지인씨엘""",2021.10.31,2020.10.31
2266,"""엔케이세미""",2021.03.31,2020.03.31
2267,"""에이치에스인터네셔날아이앤씨""",2020.11.05,2019.11.05
2268,"""에이앤시텍""",2021.09.30,2020.09.30
2269,"""우진코아""",2019.11.06,2018.11.06
